id,domain,scope,lens,impact,criterion,status
BR-02-09,Brand signal,"identidad, marca y reconocimiento",audience,alto,"En identidad, marca y reconocimiento, comprobar que la decisión sirve al público objetivo y al contexto de uso. Variante 9: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-02-10,Brand signal,"identidad, marca y reconocimiento",audience,alto,"En identidad, marca y reconocimiento, comprobar que la decisión sirve al público objetivo y al contexto de uso. Variante 10: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-03-01,Brand signal,"identidad, marca y reconocimiento",hierarchy,alto,"En identidad, marca y reconocimiento, comprobar que la jerarquía comunica lo importante antes de lo accesorio. Variante 1: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-03-02,Brand signal,"identidad, marca y reconocimiento",hierarchy,alto,"En identidad, marca y reconocimiento, comprobar que la jerarquía comunica lo importante antes de lo accesorio. Variante 2: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-03-03,Brand signal,"identidad, marca y reconocimiento",hierarchy,alto,"En identidad, marca y reconocimiento, comprobar que la jerarquía comunica lo importante antes de lo accesorio. Variante 3: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-03-04,Brand signal,"identidad, marca y reconocimiento",hierarchy,alto,"En identidad, marca y reconocimiento, comprobar que la jerarquía comunica lo importante antes de lo accesorio. Variante 4: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-03-05,Brand signal,"identidad, marca y reconocimiento",hierarchy,alto,"En identidad, marca y reconocimiento, comprobar que la jerarquía comunica lo importante antes de lo accesorio. Variante 5: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-03-06,Brand signal,"identidad, marca y reconocimiento",hierarchy,alto,"En identidad, marca y reconocimiento, comprobar que la jerarquía comunica lo importante antes de lo accesorio. Variante 6: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-03-07,Brand signal,"identidad, marca y reconocimiento",hierarchy,alto,"En identidad, marca y reconocimiento, comprobar que la jerarquía comunica lo importante antes de lo accesorio. Variante 7: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-03-08,Brand signal,"identidad, marca y reconocimiento",hierarchy,alto,"En identidad, marca y reconocimiento, comprobar que la jerarquía comunica lo importante antes de lo accesorio. Variante 8: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-03-09,Brand signal,"identidad, marca y reconocimiento",hierarchy,alto,"En identidad, marca y reconocimiento, comprobar que la jerarquía comunica lo importante antes de lo accesorio. Variante 9: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-03-10,Brand signal,"identidad, marca y reconocimiento",hierarchy,alto,"En identidad, marca y reconocimiento, comprobar que la jerarquía comunica lo importante antes de lo accesorio. Variante 10: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-04-01,Brand signal,"identidad, marca y reconocimiento",coherence,alto,"En identidad, marca y reconocimiento, comprobar que la ejecución mantiene coherencia con el sistema visual completo. Variante 1: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-04-02,Brand signal,"identidad, marca y reconocimiento",coherence,alto,"En identidad, marca y reconocimiento, comprobar que la ejecución mantiene coherencia con el sistema visual completo. Variante 2: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-04-03,Brand signal,"identidad, marca y reconocimiento",coherence,alto,"En identidad, marca y reconocimiento, comprobar que la ejecución mantiene coherencia con el sistema visual completo. Variante 3: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-04-04,Brand signal,"identidad, marca y reconocimiento",coherence,alto,"En identidad, marca y reconocimiento, comprobar que la ejecución mantiene coherencia con el sistema visual completo. Variante 4: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-04-05,Brand signal,"identidad, marca y reconocimiento",coherence,alto,"En identidad, marca y reconocimiento, comprobar que la ejecución mantiene coherencia con el sistema visual completo. Variante 5: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-04-06,Brand signal,"identidad, marca y reconocimiento",coherence,alto,"En identidad, marca y reconocimiento, comprobar que la ejecución mantiene coherencia con el sistema visual completo. Variante 6: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-04-07,Brand signal,"identidad, marca y reconocimiento",coherence,alto,"En identidad, marca y reconocimiento, comprobar que la ejecución mantiene coherencia con el sistema visual completo. Variante 7: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-04-08,Brand signal,"identidad, marca y reconocimiento",coherence,alto,"En identidad, marca y reconocimiento, comprobar que la ejecución mantiene coherencia con el sistema visual completo. Variante 8: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-04-09,Brand signal,"identidad, marca y reconocimiento",coherence,alto,"En identidad, marca y reconocimiento, comprobar que la ejecución mantiene coherencia con el sistema visual completo. Variante 9: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-04-10,Brand signal,"identidad, marca y reconocimiento",coherence,alto,"En identidad, marca y reconocimiento, comprobar que la ejecución mantiene coherencia con el sistema visual completo. Variante 10: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-05-01,Brand signal,"identidad, marca y reconocimiento",inclusion,crítico,"En identidad, marca y reconocimiento, comprobar que la experiencia funciona sin depender de una única capacidad sensorial. Variante 1: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-05-02,Brand signal,"identidad, marca y reconocimiento",inclusion,crítico,"En identidad, marca y reconocimiento, comprobar que la experiencia funciona sin depender de una única capacidad sensorial. Variante 2: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-05-03,Brand signal,"identidad, marca y reconocimiento",inclusion,crítico,"En identidad, marca y reconocimiento, comprobar que la experiencia funciona sin depender de una única capacidad sensorial. Variante 3: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-05-04,Brand signal,"identidad, marca y reconocimiento",inclusion,crítico,"En identidad, marca y reconocimiento, comprobar que la experiencia funciona sin depender de una única capacidad sensorial. Variante 4: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-05-05,Brand signal,"identidad, marca y reconocimiento",inclusion,crítico,"En identidad, marca y reconocimiento, comprobar que la experiencia funciona sin depender de una única capacidad sensorial. Variante 5: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-05-06,Brand signal,"identidad, marca y reconocimiento",inclusion,crítico,"En identidad, marca y reconocimiento, comprobar que la experiencia funciona sin depender de una única capacidad sensorial. Variante 6: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-05-07,Brand signal,"identidad, marca y reconocimiento",inclusion,crítico,"En identidad, marca y reconocimiento, comprobar que la experiencia funciona sin depender de una única capacidad sensorial. Variante 7: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-05-08,Brand signal,"identidad, marca y reconocimiento",inclusion,crítico,"En identidad, marca y reconocimiento, comprobar que la experiencia funciona sin depender de una única capacidad sensorial. Variante 8: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-05-09,Brand signal,"identidad, marca y reconocimiento",inclusion,crítico,"En identidad, marca y reconocimiento, comprobar que la experiencia funciona sin depender de una única capacidad sensorial. Variante 9: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-05-10,Brand signal,"identidad, marca y reconocimiento",inclusion,crítico,"En identidad, marca y reconocimiento, comprobar que la experiencia funciona sin depender de una única capacidad sensorial. Variante 10: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-06-01,Brand signal,"identidad, marca y reconocimiento",feedback,alto,"En identidad, marca y reconocimiento, comprobar que la respuesta del sistema es clara, reversible y observable. Variante 1: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-06-02,Brand signal,"identidad, marca y reconocimiento",feedback,alto,"En identidad, marca y reconocimiento, comprobar que la respuesta del sistema es clara, reversible y observable. Variante 2: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-06-03,Brand signal,"identidad, marca y reconocimiento",feedback,alto,"En identidad, marca y reconocimiento, comprobar que la respuesta del sistema es clara, reversible y observable. Variante 3: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-06-04,Brand signal,"identidad, marca y reconocimiento",feedback,alto,"En identidad, marca y reconocimiento, comprobar que la respuesta del sistema es clara, reversible y observable. Variante 4: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-06-05,Brand signal,"identidad, marca y reconocimiento",feedback,alto,"En identidad, marca y reconocimiento, comprobar que la respuesta del sistema es clara, reversible y observable. Variante 5: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-06-06,Brand signal,"identidad, marca y reconocimiento",feedback,alto,"En identidad, marca y reconocimiento, comprobar que la respuesta del sistema es clara, reversible y observable. Variante 6: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-06-07,Brand signal,"identidad, marca y reconocimiento",feedback,alto,"En identidad, marca y reconocimiento, comprobar que la respuesta del sistema es clara, reversible y observable. Variante 7: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-06-08,Brand signal,"identidad, marca y reconocimiento",feedback,alto,"En identidad, marca y reconocimiento, comprobar que la respuesta del sistema es clara, reversible y observable. Variante 8: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-06-09,Brand signal,"identidad, marca y reconocimiento",feedback,alto,"En identidad, marca y reconocimiento, comprobar que la respuesta del sistema es clara, reversible y observable. Variante 9: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-06-10,Brand signal,"identidad, marca y reconocimiento",feedback,alto,"En identidad, marca y reconocimiento, comprobar que la respuesta del sistema es clara, reversible y observable. Variante 10: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-07-01,Brand signal,"identidad, marca y reconocimiento",performance,crítico,"En identidad, marca y reconocimiento, comprobar que la decisión conserva rendimiento y no añade fricción innecesaria. Variante 1: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-07-02,Brand signal,"identidad, marca y reconocimiento",performance,crítico,"En identidad, marca y reconocimiento, comprobar que la decisión conserva rendimiento y no añade fricción innecesaria. Variante 2: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-07-03,Brand signal,"identidad, marca y reconocimiento",performance,crítico,"En identidad, marca y reconocimiento, comprobar que la decisión conserva rendimiento y no añade fricción innecesaria. Variante 3: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-07-04,Brand signal,"identidad, marca y reconocimiento",performance,crítico,"En identidad, marca y reconocimiento, comprobar que la decisión conserva rendimiento y no añade fricción innecesaria. Variante 4: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-07-05,Brand signal,"identidad, marca y reconocimiento",performance,crítico,"En identidad, marca y reconocimiento, comprobar que la decisión conserva rendimiento y no añade fricción innecesaria. Variante 5: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-07-06,Brand signal,"identidad, marca y reconocimiento",performance,crítico,"En identidad, marca y reconocimiento, comprobar que la decisión conserva rendimiento y no añade fricción innecesaria. Variante 6: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-07-07,Brand signal,"identidad, marca y reconocimiento",performance,crítico,"En identidad, marca y reconocimiento, comprobar que la decisión conserva rendimiento y no añade fricción innecesaria. Variante 7: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-07-08,Brand signal,"identidad, marca y reconocimiento",performance,crítico,"En identidad, marca y reconocimiento, comprobar que la decisión conserva rendimiento y no añade fricción innecesaria. Variante 8: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-07-09,Brand signal,"identidad, marca y reconocimiento",performance,crítico,"En identidad, marca y reconocimiento, comprobar que la decisión conserva rendimiento y no añade fricción innecesaria. Variante 9: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-07-10,Brand signal,"identidad, marca y reconocimiento",performance,crítico,"En identidad, marca y reconocimiento, comprobar que la decisión conserva rendimiento y no añade fricción innecesaria. Variante 10: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-08-01,Brand signal,"identidad, marca y reconocimiento",responsive,crítico,"En identidad, marca y reconocimiento, comprobar que la implementación se comporta correctamente en distintos tamaños. Variante 1: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-08-02,Brand signal,"identidad, marca y reconocimiento",responsive,crítico,"En identidad, marca y reconocimiento, comprobar que la implementación se comporta correctamente en distintos tamaños. Variante 2: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-08-03,Brand signal,"identidad, marca y reconocimiento",responsive,crítico,"En identidad, marca y reconocimiento, comprobar que la implementación se comporta correctamente en distintos tamaños. Variante 3: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-08-04,Brand signal,"identidad, marca y reconocimiento",responsive,crítico,"En identidad, marca y reconocimiento, comprobar que la implementación se comporta correctamente en distintos tamaños. Variante 4: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-08-05,Brand signal,"identidad, marca y reconocimiento",responsive,crítico,"En identidad, marca y reconocimiento, comprobar que la implementación se comporta correctamente en distintos tamaños. Variante 5: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-08-06,Brand signal,"identidad, marca y reconocimiento",responsive,crítico,"En identidad, marca y reconocimiento, comprobar que la implementación se comporta correctamente en distintos tamaños. Variante 6: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-08-07,Brand signal,"identidad, marca y reconocimiento",responsive,crítico,"En identidad, marca y reconocimiento, comprobar que la implementación se comporta correctamente en distintos tamaños. Variante 7: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-08-08,Brand signal,"identidad, marca y reconocimiento",responsive,crítico,"En identidad, marca y reconocimiento, comprobar que la implementación se comporta correctamente en distintos tamaños. Variante 8: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-08-09,Brand signal,"identidad, marca y reconocimiento",responsive,crítico,"En identidad, marca y reconocimiento, comprobar que la implementación se comporta correctamente en distintos tamaños. Variante 9: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-08-10,Brand signal,"identidad, marca y reconocimiento",responsive,crítico,"En identidad, marca y reconocimiento, comprobar que la implementación se comporta correctamente en distintos tamaños. Variante 10: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-09-01,Brand signal,"identidad, marca y reconocimiento",distinctiveness,alto,"En identidad, marca y reconocimiento, comprobar que la solución es suficientemente propia para ser recordada y defendida. Variante 1: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-09-02,Brand signal,"identidad, marca y reconocimiento",distinctiveness,alto,"En identidad, marca y reconocimiento, comprobar que la solución es suficientemente propia para ser recordada y defendida. Variante 2: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-09-03,Brand signal,"identidad, marca y reconocimiento",distinctiveness,alto,"En identidad, marca y reconocimiento, comprobar que la solución es suficientemente propia para ser recordada y defendida. Variante 3: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-09-04,Brand signal,"identidad, marca y reconocimiento",distinctiveness,alto,"En identidad, marca y reconocimiento, comprobar que la solución es suficientemente propia para ser recordada y defendida. Variante 4: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-09-05,Brand signal,"identidad, marca y reconocimiento",distinctiveness,alto,"En identidad, marca y reconocimiento, comprobar que la solución es suficientemente propia para ser recordada y defendida. Variante 5: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-09-06,Brand signal,"identidad, marca y reconocimiento",distinctiveness,alto,"En identidad, marca y reconocimiento, comprobar que la solución es suficientemente propia para ser recordada y defendida. Variante 6: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-09-07,Brand signal,"identidad, marca y reconocimiento",distinctiveness,alto,"En identidad, marca y reconocimiento, comprobar que la solución es suficientemente propia para ser recordada y defendida. Variante 7: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-09-08,Brand signal,"identidad, marca y reconocimiento",distinctiveness,alto,"En identidad, marca y reconocimiento, comprobar que la solución es suficientemente propia para ser recordada y defendida. Variante 8: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-09-09,Brand signal,"identidad, marca y reconocimiento",distinctiveness,alto,"En identidad, marca y reconocimiento, comprobar que la solución es suficientemente propia para ser recordada y defendida. Variante 9: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-09-10,Brand signal,"identidad, marca y reconocimiento",distinctiveness,alto,"En identidad, marca y reconocimiento, comprobar que la solución es suficientemente propia para ser recordada y defendida. Variante 10: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-10-01,Brand signal,"identidad, marca y reconocimiento",verification,crítico,"En identidad, marca y reconocimiento, comprobar que el resultado puede validarse con una prueba concreta antes de publicarse. Variante 1: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-10-02,Brand signal,"identidad, marca y reconocimiento",verification,crítico,"En identidad, marca y reconocimiento, comprobar que el resultado puede validarse con una prueba concreta antes de publicarse. Variante 2: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-10-03,Brand signal,"identidad, marca y reconocimiento",verification,crítico,"En identidad, marca y reconocimiento, comprobar que el resultado puede validarse con una prueba concreta antes de publicarse. Variante 3: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-10-04,Brand signal,"identidad, marca y reconocimiento",verification,crítico,"En identidad, marca y reconocimiento, comprobar que el resultado puede validarse con una prueba concreta antes de publicarse. Variante 4: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-10-05,Brand signal,"identidad, marca y reconocimiento",verification,crítico,"En identidad, marca y reconocimiento, comprobar que el resultado puede validarse con una prueba concreta antes de publicarse. Variante 5: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-10-06,Brand signal,"identidad, marca y reconocimiento",verification,crítico,"En identidad, marca y reconocimiento, comprobar que el resultado puede validarse con una prueba concreta antes de publicarse. Variante 6: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-10-07,Brand signal,"identidad, marca y reconocimiento",verification,crítico,"En identidad, marca y reconocimiento, comprobar que el resultado puede validarse con una prueba concreta antes de publicarse. Variante 7: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-10-08,Brand signal,"identidad, marca y reconocimiento",verification,crítico,"En identidad, marca y reconocimiento, comprobar que el resultado puede validarse con una prueba concreta antes de publicarse. Variante 8: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-10-09,Brand signal,"identidad, marca y reconocimiento",verification,crítico,"En identidad, marca y reconocimiento, comprobar que el resultado puede validarse con una prueba concreta antes de publicarse. Variante 9: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-10-10,Brand signal,"identidad, marca y reconocimiento",verification,crítico,"En identidad, marca y reconocimiento, comprobar que el resultado puede validarse con una prueba concreta antes de publicarse. Variante 10: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
NA-01-01,Narrative,"narrativa, concepto y punto de vista",intent,estratégico,"En narrativa, concepto y punto de vista, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 1: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
NA-01-02,Narrative,"narrativa, concepto y punto de vista",intent,estratégico,"En narrativa, concepto y punto de vista, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 2: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
NA-01-03,Narrative,"narrativa, concepto y punto de vista",intent,estratégico,"En narrativa, concepto y punto de vista, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 3: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
NA-01-04,Narrative,"narrativa, concepto y punto de vista",intent,estratégico,"En narrativa, concepto y punto de vista, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 4: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
NA-01-05,Narrative,"narrativa, concepto y punto de vista",intent,estratégico,"En narrativa, concepto y punto de vista, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 5: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
NA-01-06,Narrative,"narrativa, concepto y punto de vista",intent,estratégico,"En narrativa, concepto y punto de vista, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 6: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
NA-01-07,Narrative,"narrativa, concepto y punto de vista",intent,estratégico,"En narrativa, concepto y punto de vista, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 7: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
NA-01-08,Narrative,"narrativa, concepto y punto de vista",intent,estratégico,"En narrativa, concepto y punto de vista, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 8: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
NA-01-09,Narrative,"narrativa, concepto y punto de vista",intent,estratégico,"En narrativa, concepto y punto de vista, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 9: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
NA-01-10,Narrative,"narrativa, concepto y punto de vista",intent,estratégico,"En narrativa, concepto y punto de vista, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 10: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
NA-02-01,Narrative,"narrativa, concepto y punto de vista",audience,alto,"En narrativa, concepto y punto de vista, comprobar que la decisión sirve al público objetivo y al contexto de uso. Variante 1: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
NA-02-02,Narrative,"narrativa, concepto y punto de vista",audience,alto,"En narrativa, concepto y punto de vista, comprobar que la decisión sirve al público objetivo y al contexto de uso. Variante 2: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
NA-02-03,Narrative,"narrativa, concepto y punto de vista",audience,alto,"En narrativa, concepto y punto de vista, comprobar que la decisión sirve al público objetivo y al contexto de uso. Variante 3: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
NA-02-04,Narrative,"narrativa, concepto y punto de vista",audience,alto,"En narrativa, concepto y punto de vista, comprobar que la decisión sirve al público objetivo y al contexto de uso. Variante 4: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
NA-02-05,Narrative,"narrativa, concepto y punto de vista",audience,alto,"En narrativa, concepto y punto de vista, comprobar que la decisión sirve al público objetivo y al contexto de uso. Variante 5: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
NA-02-06,Narrative,"narrativa, concepto y punto de vista",audience,alto,"En narrativa, concepto y punto de vista, comprobar que la decisión sirve al público objetivo y al contexto de uso. Variante 6: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
